,period,국내여행,해외여행,아웃도어 스포츠,인도어 스포츠,댄스,보컬/악기,미술,공예,커피/요리,외국어,뷰티,취업/자격증/기타
0,2019-02-01,175.92988,567.3008999999998,257.58644,163.35759000000002,380.66506999999996,328.69396,182.39077,121.5488,147.67502,52.14124,278.49474,137.48508
1,2019-05-01,211.91691000000003,613.3233200000001,200.74746000000002,170.11353000000003,448.31922,355.19250000000005,209.49542,116.27065999999999,211.23380999999998,57.17505,287.62444,158.59447
2,2019-07-01,232.11246000000003,700.6933,257.30137,204.13982000000001,368.78013000000004,417.95580000000007,156.57878,157.16275000000002,130.46407000000002,57.32531,235.57207,174.54499
3,2019-08-01,211.07414999999997,594.4917500000001,240.82425,194.00224999999998,355.68136999999996,361.79313,186.67439000000002,96.45294,136.94647000000003,48.4598,213.60729,162.23972999999998
4,2019-12-01,223.97047,641.38765,188.44201,199.70259000000001,358.52095999999995,389.53486,215.10926,120.94177,116.14936000000002,60.18030999999999,275.74437,172.00771
5,2020-01-01,198.03838999999996,682.9524199999998,202.93971000000002,213.39425,379.7622,396.24022,225.65783,144.72077000000002,148.66682000000003,83.47107,314.24926000000005,193.96453
6,2020-02-01,210.80267999999995,628.3207199999999,172.88312,211.83042,339.2064,359.03134,228.86637000000005,152.41778000000002,164.43064,71.75056,269.82221,196.40401000000003
7,2020-03-01,224.84720000000002,283.10123,150.92458,235.82629,316.21418,312.121,245.54293,203.20874999999998,116.36202999999999,97.145,203.20040999999998,245.47517000000002
8,2020-04-01,332.30433999999997,154.96107999999998,163.58455999999998,211.54483,303.71173,340.91476000000006,244.90692,187.75059000000002,136.60862000000003,88.12922,166.42352,220.46987000000001
9,2020-05-01,335.07478999999995,150.49345,229.56903000000003,241.76512000000002,330.88011,358.2215700000001,243.58347,170.12515,207.34930000000003,89.0308,181.42797,273.96307
10,2020-06-01,346.68963,150.13608000000002,215.10428000000002,254.68811,327.10617,365.87329,197.95275999999998,166.8917,139.72943,66.49135,204.05361,238.14101000000002
11,2020-07-01,422.9931,136.25897999999998,240.84981,272.67754,357.45631000000003,393.54882,187.11197000000004,203.58873,120.4493,72.50187,232.46507,220.97150000000002
12,2020-08-01,326.31451,149.90611,195.05731999999998,334.42006000000003,300.13819,324.323,165.22784000000001,184.13308,116.22001,78.21187,229.52089,195.47913000000003
13,2020-10-01,397.90428,115.70115,180.7076,217.22990999999996,309.20515,366.43457,250.29609,208.21747,97.59799000000001,68.67017,238.04277,180.91224
14,2020-11-01,316.27714,117.63771000000001,188.80007,254.42571,286.51408999999995,369.37570999999997,189.44483000000002,233.71571999999998,108.81362000000001,69.57175,217.57092,176.65258
15,2019-01-01,168.83182000000002,682.16536,256.28862,182.06188000000003,408.37375999999995,406.56459,233.93871,132.66969,169.02620000000002,100.0,330.48965,159.00893
16,2019-03-01,168.11536999999998,535.33389,250.35426999999999,187.57911,412.31496999999996,376.72475,254.19046,125.54477999999999,178.02826,64.23741,239.87989999999996,198.08739999999997
17,2019-04-01,189.49583,501.33378,217.19325,171.08005,375.38217000000003,390.2697999999999,229.33794000000003,128.89146,157.16777000000002,54.84598,247.77250999999998,190.40947999999997
18,2019-06-01,206.62333999999998,759.5355,215.93313,183.81232,393.07935,348.12471999999997,149.11464,95.12997,136.01088000000001,57.40045,249.25041,194.70214
19,2019-09-01,187.22858,492.16141,167.63402,171.70372,374.74474,340.76245,195.13193,107.45087,124.45002000000001,49.13598,261.58445,171.25548999999998
20,2019-10-01,214.48374,505.0628299999999,194.25097,173.28243,350.92201,363.90685999999994,221.20835,188.81459000000004,138.9857,43.27573,255.07085,168.78617
21,2019-11-01,194.96819000000005,528.0661799999999,181.95941999999997,167.70776,330.09046,378.88000000000005,222.37128,221.54261000000002,137.57862,58.67768,317.58401000000003,171.24238
22,2020-09-01,296.77049,127.66235,133.76373999999998,220.36607,249.47121999999996,357.44982999999996,182.38434,132.98685,111.76279,78.73779,146.09338,206.25661000000002
23,2020-12-01,232.10822000000002,124.1038,185.23386,163.87664,188.28263,326.63847999999996,139.09740000000002,126.04837000000002,66.24172,91.28474,178.54317999999998,205.71918999999997
